Tweet,Date,Time,Favourite Count
@Grimezsz x is y,10-01-2020,06:36:15,11933
@teslaownersSV Sure,10-01-2020,06:29:41,5905
I put the art in fart,09-01-2020,10:04:44,456081
@fvckgerry Haha spectrum af 👶🏻,09-01-2020,09:21:14,25527
"@nichegamer King of the Goblins,
Master of the Labyrinth",08-01-2020,23:48:18,5247
"♥️♥️ Tesla China Team ♥️♥️
     Such amazing progress!!",08-01-2020,17:05:30,95672
"@BnOrdhaug @Erdayastronaut I haven’t cross-checked RCS pulses with the MLI dimpling on the video, but it’s most likely the cause",07-01-2020,20:28:58,1632
@webtekno Nice 🤣🤣,07-01-2020,20:20:30,23284
"@Erdayastronaut Since there’s only one main engine, which gives pitch and yaw control, roll control is provided by… https://t.co/penNCjMqCE",07-01-2020,20:14:35,3985
"@annerajb @waitbutwhy Looks like a thin, flat, round UFO on a stick. Starlink Terminal has motors to self-adjust op… https://t.co/LeH0qU4XCD",07-01-2020,14:06:05,2743
@RenataKonkoly @RationalEtienne Just tryin to grow my follower count on pornhub …,07-01-2020,13:53:28,21296
@RationalEtienne 🔥🔥🤣🤣,07-01-2020,13:45:50,3448
@waitbutwhy DKE^DKE,07-01-2020,13:25:41,828
@flcnhvy Sprockets was amazing,07-01-2020,10:00:33,1921
